size,seed,optimal_path_length,solved,generations_to_solve,evaluations_to_solve,best_path_length,final_progress,final_progress_frac,wall_time_s
11,1000,36,1,0,300,257,36,1.0000,0.079
11,1001,20,1,0,300,67,20,1.0000,0.068
11,1002,36,1,0,300,257,36,1.0000,0.077
11,1003,28,1,0,300,230,28,1.0000,0.071
11,1004,28,1,0,300,237,28,1.0000,0.068
11,1005,32,1,0,300,188,32,1.0000,0.068
11,1006,44,1,6,2100,290,44,1.0000,0.488
11,1007,24,1,0,300,93,24,1.0000,0.072
15,1000,80,0,,,,69,0.8625,13.919
15,1001,28,1,0,300,155,28,1.0000,0.065
15,1002,48,1,2,900,291,48,1.0000,0.206
15,1003,52,1,10,3300,204,52,1.0000,0.857
15,1004,24,1,0,300,123,24,1.0000,0.071
15,1005,28,1,0,300,135,28,1.0000,0.068
15,1006,72,0,,,,56,0.7778,14.129
15,1007,76,1,30,9300,289,76,1.0000,2.117
19,1000,88,0,,,,68,0.7727,14.086
19,1001,68,1,24,7500,300,68,1.0000,1.729
19,1002,116,0,,,,69,0.5948,13.840
19,1003,88,0,,,,82,0.9318,13.996
19,1004,32,1,0,300,173,32,1.0000,0.065
19,1005,56,1,7,2400,296,56,1.0000,0.565
19,1006,80,0,,,,74,0.9250,13.851
19,1007,116,0,,,,78,0.6724,13.961
21,1000,88,0,,,,68,0.7727,13.935
21,1001,108,0,,,,73,0.6759,13.903
21,1002,148,0,,,,69,0.4662,13.983
21,1003,120,0,,,,82,0.6833,13.888
21,1004,120,0,,,,71,0.5917,14.061
21,1005,68,1,16,5100,290,68,1.0000,1.178
21,1006,100,0,,,,75,0.7500,13.834
21,1007,132,0,,,,94,0.7121,13.916
25,1000,136,0,,,,68,0.5000,13.871
25,1001,164,0,,,,95,0.5793,13.931
25,1002,176,0,,,,69,0.3920,13.716
25,1003,180,0,,,,89,0.4944,13.675
25,1004,184,0,,,,90,0.4891,13.705
25,1005,108,0,,,,52,0.4815,13.736
25,1006,100,0,,,,75,0.7500,13.699
25,1007,164,0,,,,84,0.5122,13.576
31,1000,208,0,,,,68,0.3269,13.677
31,1001,80,1,16,5100,298,80,1.0000,1.194
31,1002,188,0,,,,69,0.3670,13.577
31,1003,300,0,,,,89,0.2967,13.920
31,1004,204,0,,,,95,0.4657,13.670
31,1005,196,0,,,,52,0.2653,13.754
31,1006,272,0,,,,75,0.2757,13.738
31,1007,192,0,,,,84,0.4375,13.863
