sweep,value,seed,optimal_path_length,solved,generations_to_solve,evaluations_to_solve,final_progress,final_progress_frac,wall_time_s
population_size,100,1000,88,0,,,64,0.7273,4.537
population_size,100,1001,108,0,,,81,0.7500,4.739
population_size,100,1002,148,0,,,71,0.4797,4.606
population_size,100,1003,120,0,,,89,0.7417,4.492
population_size,100,1004,120,0,,,71,0.5917,4.540
population_size,100,1005,68,0,,,61,0.8971,4.511
population_size,200,1000,88,0,,,66,0.7500,9.275
population_size,200,1001,108,0,,,57,0.5278,9.009
population_size,200,1002,148,0,,,73,0.4932,9.249
population_size,200,1003,120,0,,,93,0.7750,9.173
population_size,200,1004,120,0,,,71,0.5917,9.030
population_size,200,1005,68,0,,,63,0.9265,9.153
population_size,300,1000,88,0,,,68,0.7727,14.053
population_size,300,1001,108,0,,,73,0.6759,13.761
population_size,300,1002,148,0,,,69,0.4662,13.578
population_size,300,1003,120,0,,,82,0.6833,13.590
population_size,300,1004,120,0,,,71,0.5917,13.683
population_size,300,1005,68,1,16,5100,68,1.0000,1.142
population_size,450,1000,88,0,,,83,0.9432,20.552
population_size,450,1001,108,0,,,82,0.7593,20.532
population_size,450,1002,148,0,,,86,0.5811,20.898
population_size,450,1003,120,0,,,66,0.5500,20.329
population_size,450,1004,120,0,,,76,0.6333,20.451
population_size,450,1005,68,1,16,7650,68,1.0000,1.724
population_size,600,1000,88,0,,,82,0.9318,27.283
population_size,600,1001,108,0,,,91,0.8426,27.485
population_size,600,1002,148,0,,,81,0.5473,28.119
population_size,600,1003,120,0,,,82,0.6833,27.851
population_size,600,1004,120,0,,,82,0.6833,27.584
population_size,600,1005,68,1,14,9000,68,1.0000,2.037
mutation_rate,0.01,1000,88,0,,,67,0.7614,13.307
mutation_rate,0.01,1001,108,0,,,69,0.6389,13.418
mutation_rate,0.01,1002,148,0,,,69,0.4662,13.436
mutation_rate,0.01,1003,120,0,,,65,0.5417,13.658
mutation_rate,0.01,1004,120,0,,,78,0.6500,13.460
mutation_rate,0.01,1005,68,0,,,66,0.9706,13.852
mutation_rate,0.03,1000,88,0,,,68,0.7727,13.912
mutation_rate,0.03,1001,108,0,,,73,0.6759,13.548
mutation_rate,0.03,1002,148,0,,,69,0.4662,13.886
mutation_rate,0.03,1003,120,0,,,82,0.6833,13.627
mutation_rate,0.03,1004,120,0,,,71,0.5917,14.157
mutation_rate,0.03,1005,68,1,16,5100,68,1.0000,1.215
mutation_rate,0.06,1000,88,0,,,68,0.7727,14.630
mutation_rate,0.06,1001,108,0,,,69,0.6389,14.837
mutation_rate,0.06,1002,148,0,,,81,0.5473,14.509
mutation_rate,0.06,1003,120,0,,,70,0.5833,14.349
mutation_rate,0.06,1004,120,0,,,84,0.7000,14.255
mutation_rate,0.06,1005,68,1,21,6600,68,1.0000,1.502
mutation_rate,0.1,1000,88,0,,,72,0.8182,14.749
mutation_rate,0.1,1001,108,0,,,74,0.6852,14.751
mutation_rate,0.1,1002,148,0,,,67,0.4527,14.415
mutation_rate,0.1,1003,120,0,,,66,0.5500,14.835
mutation_rate,0.1,1004,120,0,,,75,0.6250,14.634
mutation_rate,0.1,1005,68,1,38,11700,68,1.0000,3.162
mutation_rate,0.2,1000,88,0,,,72,0.8182,14.869
mutation_rate,0.2,1001,108,0,,,67,0.6204,15.754
mutation_rate,0.2,1002,148,0,,,63,0.4257,15.685
mutation_rate,0.2,1003,120,0,,,59,0.4917,15.820
mutation_rate,0.2,1004,120,0,,,76,0.6333,15.930
mutation_rate,0.2,1005,68,0,,,65,0.9559,15.927
generations,50,1000,88,0,,,61,0.6932,3.987
generations,50,1001,108,0,,,73,0.6759,3.956
generations,50,1002,148,0,,,65,0.4392,3.927
generations,50,1003,120,0,,,77,0.6417,3.956
generations,50,1004,120,0,,,67,0.5583,3.922
generations,50,1005,68,1,16,5100,68,1.0000,1.332
generations,100,1000,88,0,,,68,0.7727,8.035
generations,100,1001,108,0,,,73,0.6759,8.057
generations,100,1002,148,0,,,69,0.4662,7.963
generations,100,1003,120,0,,,82,0.6833,7.948
generations,100,1004,120,0,,,68,0.5667,8.021
generations,100,1005,68,1,16,5100,68,1.0000,1.350
generations,200,1000,88,0,,,68,0.7727,16.064
generations,200,1001,108,0,,,73,0.6759,16.084
generations,200,1002,148,0,,,69,0.4662,16.095
generations,200,1003,120,0,,,82,0.6833,16.104
generations,200,1004,120,0,,,71,0.5917,16.569
generations,200,1005,68,1,16,5100,68,1.0000,1.342
generations,300,1000,88,0,,,68,0.7727,24.090
generations,300,1001,108,0,,,73,0.6759,23.994
generations,300,1002,148,0,,,69,0.4662,24.254
generations,300,1003,120,0,,,82,0.6833,24.393
generations,300,1004,120,0,,,71,0.5917,24.118
generations,300,1005,68,1,16,5100,68,1.0000,1.347
generations,400,1000,88,0,,,68,0.7727,32.045
generations,400,1001,108,0,,,73,0.6759,32.251
generations,400,1002,148,0,,,69,0.4662,32.174
generations,400,1003,120,0,,,83,0.6917,33.131
generations,400,1004,120,0,,,74,0.6167,32.191
generations,400,1005,68,1,16,5100,68,1.0000,1.346
